Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12067570,19701940,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,32526562,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2970017,2947314,2927519,2913021,2904780,2900247,2896652,2893654,2889167,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25912364,31183658,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39666519,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,57522,57904,57031,56226,55636,55316,55227,55302,55434,55538,..
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,65399,84878,85616,85474,84419,82326,79316,75902,72786,70473,..
"Population, total",SP.POP.TOTL,Angola,AGO,11127870,15058638,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,25021974,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,77648,84397,85350,86300,87233,88152,89069,89985,90900,91818,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32729740,37057453,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,43416755,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3544695,3076098,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154,3017712,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,90858,101218,101342,101416,101597,101936,102393,102921,103441,103889,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23464086,23781169,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575,8611088,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9651349,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256338,297891,342259,348587,354780,360830,366711,372388,377841,383054,388019,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,495944,666855,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930,1377237,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,105983136,131280739,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,160995642,..
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,269838,276154,277315,278466,279566,280602,281580,282503,283380,284215,..
